city,salary_men,salary_women,population
Ambérieu-en-Bugey,15.0,11.6,13460
Ambronay,14.7,11.9,2563
Arbent,15.3,10.9,3281
Attignat,13.8,11.4,3329
Bâgé-la-Ville,13.8,11.6,3142
Balan,15.2,12.5,3298
Bellignat,13.4,10.9,3532
Béligneux,15.4,12.4,3187
Bellegarde-sur-Valserine,12.3,10.3,11401
Belley,13.2,11.0,8442
Beynost,19.5,14.8,4455
La Boisse,17.4,13.5,2722
Bourg-en-Bresse,13.1,11.4,38488
Cessy,14.7,12.2,4735
Ceyzériat,15.2,12.4,2886
Chalamont,15.1,11.5,2380
Châtillon-en-Michaille,14.5,11.0,3255
Châtillon-sur-Chalaronne,14.3,11.6,4611
Collonges,14.4,11.2,2166
Culoz,13.5,10.5,2798
Dagneux,15.2,12.8,4354
Divonne-les-Bains,19.2,13.5,8924
Fareins,16.9,12.9,2089
Feillens,13.2,11.1,3208
Ferney-Voltaire,13.5,12.1,9210
Gex,13.6,11.6,10552
Hauteville-Lompnes,12.7,11.1,3108
Izernore,14.4,10.8,2232
Jassans-Riottier,15.3,11.9,6104
Jujurieux,13.6,11.5,2137
Lagnieu,15.2,11.6,6816
Loyettes,14.7,11.7,3125
Marboz,13.8,11.3,2069
Massieux,18.3,14.2,2433
Meximieux,17.1,13.0,7264
Mézériat,13.3,11.3,2150
Mionnay,18.1,13.7,2027
Miribel,16.3,13.4,9220
Montluel,15.3,12.5,6811
Montmerle-sur-Saône,16.2,12.5,3740
Montréal-la-Cluse,13.4,10.8,3405
Montrevel-en-Bresse,12.8,10.9,2296
Nantua,12.7,10.9,3301
Neyron,19.9,15.4,2400
Ornex,14.0,12.7,4206
Oyonnax,13.0,10.7,22115
Péron,14.8,11.6,2419
Péronnas,14.4,12.2,5762
Polliat,14.2,11.6,2450
Pont-d'Ain,13.8,11.4,2602
Pont-de-Vaux,12.3,11.4,2068
Prévessin-Moëns,15.2,13.3,7602
Replonges,14.6,11.7,3515
Reyrieux,20.2,14.3,4209
Saint-André-de-Corcy,16.4,13.1,2880
Saint-Denis-lès-Bourg,15.1,12.4,5515
Saint-Denis-en-Bugey,14.5,11.5,2196
Saint-Didier-sur-Chalaronne,14.2,11.3,2745
Saint-Étienne-du-Bois,14.1,11.6,4473
Saint-Genis-Pouilly,13.0,11.7,9677
Saint-Maurice-de-Beynost,14.7,11.9,3866
Saint-Maurice-de-Gourdans,16.9,13.9,2349
Saint-Rambert-en-Bugey,12.1,10.9,2159
Thoiry,15.3,11.4,7769
Trévoux,15.7,12.4,6627
Versonnex,14.1,12.5,2768
Villars-les-Dombes,14.4,11.8,4185
Villieu-Loyes-Mollon,16.8,13.0,3322
Viriat,14.3,12.0,6003
Vonnas,13.0,11.5,2788
Athies-sous-Laon,13.0,11.5,2617
Beautor,12.2,10.3,2635
Belleu,12.5,10.9,3544
Bohain-en-Vermandois,11.6,10.3,5459
Braine,13.0,10.5,2150
Charly-sur-Marne,13.4,11.6,2572
Château-Thierry,13.2,11.1,14008
Chauny,13.3,10.6,11445
Crouy,12.9,10.5,2663
Essômes-sur-Marne,14.7,11.8,2768
La Fère,11.1,9.4,2606
Fère-en-Tardenois,12.7,10.7,3037
La Ferté-Milon,13.8,11.6,2080
Fresnoy-le-Grand,12.7,10.4,2974
Gauchy,12.9,11.0,5315
Guignicourt,14.1,12.0,2173
Guise,11.9,10.5,4806
Hirson,11.6,10.3,9065
Laon,11.8,10.8,23850
Marle,12.7,11.8,2211
Neuilly-Saint-Front,12.3,10.7,2066
Nogent-l'Artaud,13.7,12.2,2072
Le Nouvion-en-Thiérache,13.0,11.5,2561
Saint-Gobain,13.3,10.9,1931
Saint-Michel,11.0,10.3,7643
Saint-Quentin,13.0,11.3,54465
Sinceny,14.0,11.4,2051
Sissonne,11.1,10.0,1795
Soissons,12.9,11.1,27486
Tergnier,12.8,10.3,13563
Vailly-sur-Aisne,13.1,11.1,2006
Vervins,12.4,11.8,2391
Villeneuve-Saint-Germain,12.6,10.5,2459
Villers-Cotterêts,13.7,11.4,10646
Abrest,13.9,10.9,2766
Avermes,12.7,11.3,3815
Bellerive-sur-Allier,15.0,11.5,8063
Bourbon-l'Archambault,12.3,11.3,2270
Commentry,12.7,10.5,6204
Cosne-d'Allier,12.3,10.8,1978
Creuzier-le-Vieux,15.0,11.4,3281
Cusset,13.2,10.9,12789
Désertines,13.2,11.0,4601
Domérat,13.4,11.0,8602
Dompierre-sur-Besbre,12.6,10.5,2969
Gannat,12.5,10.7,5505
Huriel,13.0,10.2,2677
Lapalisse,11.3,10.4,2769
Lurcy-Lévis,11.1,9.9,1808
Montluçon,12.5,10.5,35202
Moulins,12.1,10.9,19574
Néris-les-Bains,15.2,11.7,2447
Prémilhat,14.4,11.3,2255
Saint-Germain-des-Fossés,12.2,10.7,3624
Saint-Pourçain-sur-Sioule,12.3,11.1,4622
Saint-Victor,13.8,11.2,3207
Saint-Yorre,13.7,10.9,2731
Varennes-sur-Allier,11.8,10.6,3335
Vendat,15.7,11.5,2175
Vichy,13.3,11.3,24585
Yzeure,13.2,11.5,12220
Barcelonnette,11.7,10.3,2471
Château-Arnoux-Saint-Auban,13.4,11.1,5128
Digne-les-Bains,12.4,11.0,15736
Forcalquier,12.5,10.6,4571
Gréoux-les-Bains,13.4,11.8,2590
Manosque,14.5,11.9,21248
Les Mées,12.7,10.6,3672
Oraison,14.0,11.7,5554
Peyruis,13.5,11.0,2691
Pierrevert,19.3,13.7,3632
Sainte-Tulle,14.8,11.5,3196
Sisteron,14.0,11.1,7137
Valensole,13.4,11.2,3107
Villeneuve,15.0,11.6,7797
Volx,14.2,11.7,3100
L'Argentière-la-Bessée,12.8,10.9,2194
La Bâtie-Neuve,13.5,11.2,2427
Briançon,12.5,11.4,11457
Chorges,13.2,10.9,2760
Embrun,12.4,10.7,5727
Gap,13.0,11.1,38926
Guillestre,12.6,10.5,2235
Laragne-Montéglin,12.8,9.8,3209
Saint-Bonnet-en-Champsaur,13.1,10.7,2015
Tallard,12.2,10.4,1900
Veynes,12.9,10.8,3019
Antibes,16.3,13.2,74279
Aspremont,18.9,14.2,2459
Auribeau-sur-Siagne,17.6,12.9,2978
Le Bar-sur-Loup,18.6,14.7,2893
Beaulieu-sur-Mer,14.4,11.9,3666
Beausoleil,12.3,11.1,13362
Biot,22.7,15.9,9840
Breil-sur-Roya,12.7,10.7,2193
Cagnes-sur-Mer,15.2,12.9,46818
Cannes,14.2,12.0,71454
Le Cannet,14.3,12.2,41349
Cap-d'Ail,20.1,12.5,4414
Carros,14.4,12.0,11823
Châteauneuf-Grasse,21.6,15.5,3025
La Colle-sur-Loup,21.2,14.6,7720
Colomars,16.5,14.0,3294
Contes,14.6,11.8,7145
Drap,13.5,10.8,4082
L'Escarène,13.4,11.3,2261
Èze,15.3,12.9,2377
Gattières,16.4,13.4,4050
La Gaude,19.4,14.4,6480
Grasse,15.7,12.7,48156
Levens,15.4,12.5,4606
Mandelieu-la-Napoule,15.3,12.4,22363
Menton,12.5,10.8,27996
Mouans-Sartoux,19.8,14.4,9133
Mougins,19.2,14.2,17616
Nice,14.1,12.1,334931
Opio,27.2,15.9,2224
Pégomas,15.7,12.5,7453
Peille,14.6,11.3,2143
Peymeinade,17.2,12.8,7949
Roquebrune-Cap-Martin,13.8,11.8,12760
Roquefort-les-Pins,26.1,17.2,6418
La Roquette-sur-Siagne,17.2,13.3,5220
Le Rouret,24.5,16.0,3872
Saint-André-de-la-Roche,13.4,11.8,5171
Saint-Cézaire-sur-Siagne,16.7,12.6,3929
Saint-Jeannet,19.4,14.1,3917
Saint-Laurent-du-Var,15.3,12.9,28739
Saint-Martin-du-Var,14.1,12.2,2727
Saint-Paul-de-Vence,21.4,14.7,3361
Saint-Vallier-de-Thiey,15.6,12.4,3450
Sospel,13.1,11.0,3425
Le Tignet,17.2,13.1,3275
Tourrette-Levens,14.9,12.1,4524
Tourrettes-sur-Loup,20.5,14.3,3863
La Trinité,13.1,11.5,23389
La Turbie,22.6,12.7,3097
Valbonne,21.8,15.5,12544
Vallauris,14.6,12.0,25831
Vence,17.4,13.4,17868
Villefranche-sur-Mer,16.3,13.8,4976
Villeneuve-Loubet,16.9,13.5,13570
Tende,12.2,10.6,1796
Annonay,13.0,10.8,15515
Aubenas,12.3,11.0,11132
Boulieu-lès-Annonay,13.2,11.2,2120
Bourg-Saint-Andéol,14.8,11.4,6830
Charmes-sur-Rhône,15.3,12.1,2656
Le Cheylard,14.2,11.4,2847
Chomérac,14.0,11.7,2933
Cornas,14.0,11.6,2204
Cruas,16.2,11.2,2794
Davézieux,13.6,12.1,2980
Guilherand-Granges,14.7,11.7,10673
Lamastre,11.7,9.6,2241
Le Pouzin,12.7,10.8,2650
Privas,12.6,11.7,7595
Rochemaure,17.2,11.9,2276
Roiffieux,13.4,10.9,2708
Ruoms,11.1,9.8,1905
Saint-Agrève,11.9,10.1,2354
Saint-Étienne-de-Fontbellon,13.7,11.1,2553
Saint-Georges-les-Bains,15.2,12.1,2058
Saint-Jean-de-Muzols,14.9,11.6,2361
Saint-Marcel-d'Ardèche,16.8,12.2,2362
Saint-Péray,16.9,12.5,7218
Sarras,12.9,11.8,1985
Soyons,16.4,12.5,2052
Le Teil,13.5,10.7,8176
Tournon-sur-Rhône,14.0,11.4,10063
Ucel,14.7,11.2,1966
Vallon-Pont-d'Arc,12.6,10.6,2182
Vals-les-Bains,12.0,10.2,3195
Les Vans,11.8,10.5,2605
Vernosc-lès-Annonay,14.5,11.3,2389
Villeneuve-de-Berg,13.1,10.4,2433
Viviers,14.8,11.1,3812
La Voulte-sur-Rhône,12.4,10.8,4904
Bazeilles,14.1,11.2,1876
Bogny-sur-Meuse,11.9,10.9,5074
Carignan,12.5,10.5,2817
Charleville-Mézières,13.3,11.3,46782
Donchery,12.9,11.0,2090
Floing,13.7,11.6,2390
Fumay,11.5,10.0,3380
Givet,15.0,11.2,6486
Haybes,13.3,10.9,1922
Monthermé,12.5,11.3,2258
Mouzon,13.8,10.7,2282
Nouvion-sur-Meuse,13.2,10.8,2175
Nouzonville,12.3,11.0,5889
Rethel,12.6,10.8,7459
Revin,12.4,11.2,6415
Rocroi,12.6,10.4,2294
Sedan,12.5,10.5,17352
Villers-Semeuse,13.8,11.0,3500
Vireux-Wallerand,17.0,10.8,2019
Vivier-au-Court,13.9,11.3,2900
Vouziers,12.4,10.4,3662
Vrigne-aux-Bois,13.4,11.0,3221
Foix,13.2,11.2,9379
Laroque-d'Olmes,12.0,10.5,2365
Lavelanet,11.3,10.5,6105
Lézat-sur-Lèze,13.4,11.2,2250
Mazères,13.5,10.7,4263
Mirepoix,12.9,10.6,3197
Pamiers,12.8,10.6,14649
Saint-Girons,12.7,10.5,5874
Saint-Jean-du-Falga,13.2,11.0,2563
Saverdun,13.5,10.9,4349
Tarascon-sur-Ariège,12.8,10.6,3116
La Tour-du-Crieu,13.6,11.3,3045
Varilhes,12.5,11.4,3267
Verniolle,14.0,11.3,2236
Arcis-sur-Aube,12.2,10.5,2708
Bar-sur-Aube,12.5,10.3,4704
Bar-sur-Seine,12.0,10.5,2785
Bréviandes,14.3,12.0,2499
Brienne-le-Château,12.7,10.2,2622
La Chapelle-Saint-Luc,11.5,10.4,12163
Les Noës-près-Troyes,12.0,10.5,2984
Nogent-sur-Seine,15.8,12.4,5806
Pont-Sainte-Marie,13.1,10.6,4512
La Rivière-de-Corps,16.4,12.4,2975
Romilly-sur-Seine,12.3,10.2,13743
Rosières-près-Troyes,15.0,12.0,3673
Saint-André-les-Vergers,13.8,11.5,11696
Saint-Germain,13.3,11.4,5271
Saint-Julien-les-Villas,14.0,11.5,6702
Saint-Lyé,14.9,12.0,2906
Saint-Parres-aux-Tertres,13.8,11.0,2813
Sainte-Savine,13.9,11.6,9806
Troyes,12.5,10.9,58769
Vendeuvre-sur-Barse,11.9,10.0,2222
Villenauxe-la-Grande,13.8,10.7,2087
Bram,12.1,10.4,3178
Carcassonne,12.3,11.1,44330
Castelnaudary,12.7,10.6,10007
Conques-sur-Orbiel,12.1,11.2,2301
Coursan,12.2,10.8,5777
Cuxac-d'Aude,12.4,10.3,3722
Fleury,12.4,10.8,6982
Gruissan,12.6,11.1,4697
Leucate,11.7,10.9,4365
Lézignan-Corbières,11.9,10.6,10827
Limoux,11.6,10.7,9601
