"TIME";"CONTR";"BRINK"
1;2224277;0
2;1892672;0
3;1468074;0
4;1618966;0
5;1509195;0
6;1511014;0
7;1506977;0
8;1520443;0
9;1070936;0
10;794191;0
11;1602841;0
12;1246483;0
13;1330143;1
14;1525370;1
15;1312257;1
16;1494717;1
17;1385822;1
18;1557598;1
19;1469066;1
20;1547011;1
21;1565671;1
22;1124576;1
23;1773806;1
24;1652490;1
25;1744558;1
26;1678286;1
27;1636597;1
28;1738847;1
29;1576383;1
30;1846508;1
31;1746899;1
32;1685611;1
33;1794467;1
34;1695017;1
35;1671626;1
36;1566107;1
37;1972964;0
38;1934369;0
39;1881303;0
40;1733339;0
41;1825021;0
42;1918247;0
43;1664116;0
44;1941848;0
45;1619657;0
46;1648605;0
47;1837134;0
