HomeMatch,ScoredGoals,ConcededGoals,Winner
True,0,0,False
False,1,1,False
True,3,1,True
False,4,1,True
True,2,3,False
True,4,0,True
False,0,0,False
False,3,1,True
True,3,0,True
False,3,2,True
True,3,0,True
False,3,0,True
True,5,2,True
False,2,0,True
True,2,1,True
False,1,1,False
True,3,1,True
False,2,0,True
True,2,2,False
False,2,1,True
True,3,1,True
False,2,0,True
True,1,1,False
False,0,0,False
True,2,2,False
False,6,2,True
False,2,0,True
True,1,1,False
True,4,1,True
False,4,1,True
True,3,3,False
True,1,3,False
False,2,1,True
False,2,0,True
